# Atomic number
# Element
# source::  s: photosphere ; m: meteoritic ; a: average
# N per 10^6 Si atoms
# sigma
# A (log(NH) = 12)
# sigma
# ------------------------------------------------------
 1 H s 2.93E+10 12.00 
 2 He s 2.47E+09 0.12E+09 10.93 0.02 
 3 Li m 55.6 7.2 3.28 0.05 
 4 Be m 0.612 0.043 1.32 0.03 
 5 B m 18.8 1.9 2.81 0.04 
 6 C s 7.19E+06 0.69E+06 8.39 0.04 
 7 N s 2.12E+06 0.68E+06 7.86 0.12 
 8 O s 1.57E+07 0.28E+07 8.73 0.07 
 9 F m 804 121 4.44 0.06 
 10 Ne s 3.29E+06 0.85E+06 8.05 0.10 
 11 Na a 57700 5100 6.29 0.04 
 12 Mg a 1.03E+06 0.15E+06 7.54 0.06 
 13 Al a 84600 15300 6.46 0.07 
 14 Si m 1.00E+06 0.03E+06 7.53 0.01 
 15 P a 8300 1100 5.45 0.05 
 16 S a 4.21E+05 0.24E+05 7.16 0.02 
 17 Cl m 5170 780 5.25 0.06 
 18 Ar s 92700 24000 6.50 0.10 
 19 K a 3760 330 5.11 0.04 
 20 Ca m 60400 3000 6.31 0.02 
 21 Sc m 34.4 1.7 3.07 0.02 
 22 Ti m 2470 200 4.93 0.03 
 23 V a 286 20 3.99 0.03 
 24 Cr a 13100 500 5.65 0.02 
 25 Mn m 9220 280 5.50 0.01 
 26 Fe a 8.48E+05 1.69E+05 7.46 0.08 
 27 Co a 2350 500 4.90 0.08 
 28 Ni a 49000 5000 6.22 0.04 
 29 Cu m 541 54 4.27 0.04 
 30 Zn m 1300 130 4.65 0.04 
 31 Ga m 36.6 1.8 3.10 0.02 
 32 Ge a 115 18 3.59 0.06 
 33 As m 6.10 0.55 2.32 0.04 
 34 Se m 67.5 4.7 3.36 0.03 
 35 Br m 10.7 1.6 2.56 0.06 
 36 Kr p 55.8 11.3 3.28 0.08
 37 Rb m 7.10 0.50 2.38 0.03
 38 Sr m 23.4 1.6 2.90 0.03
 39 Y a 4.63 0.50 2.20 0.04
 40 Zr a 10.8 1.2 2.57 0.04
 41 Nb a 0.780 0.139 1.42 0.07
 42 Mo a 2.55 0.40 1.94 0.06
 44 Ru m 1.78 0.11 1.78 0.03
 45 Rh a 0.370 0.128 1.10 0.13
 46 Pd a 1.36 0.15 1.67 0.04
 47 Ag m 0.489 0.024 1.22 0.02
 48 Cd m 1.57 0.11 1.73 0.03
 49 In m 0.178 0.012 0.78 0.03
 50 Sn m 3.60 0.54 2.09 0.06
 51 Sb m 0.313 0.047 1.03 0.06
 52 Te m 4.69 0.33 2.20 0.03
 53 I m 1.10 0.22 1.57 0.08
 54 Xe p 5.46 1.10 2.27 0.08
 55 Cs m 0.371 0.019 1.10 0.02
 56 Ba a 4.47 0.81 2.18 0.07
 57 La m 0.457 0.023 1.19 0.02
 58 Ce a 1.18 0.19 1.60 0.06
 59 Pr a 0.172 0.020 0.77 0.05
 60 Nd m 0.857 0.043 1.47 0.02
 62 Sm m 0.265 0.013 0.96 0.02
 63 Eu a 0.0984 0.0106 0.53 0.04
 64 Gd a 0.360 0.049 1.09 0.06
 65 Tb m 0.0634 0.0044 0.34 0.03
 66 Dy a 0.404 0.062 1.14 0.06
 67 Ho m 0.0910 0.0064 0.49 0.03
 68 Er a 0.262 0.042 0.95 0.06
 69 Tm m 0.0406 0.0028 0.14 0.03
 70 Yb m 0.256 0.013 0.94 0.02
 71 Lu m 0.0380 0.0019 0.11 0.02
 72 Hf m 0.156 0.008 0.73 0.02
 73 Ta m 0.0210 0.0021 -0.14 0.04
 74 W m 0.137 0.014 0.67 0.04
 75 Re m 0.0554 0.0055 0.28 0.04
 76 Os m 0.680 0.054 1.37 0.03
 77 Ir a 0.672 0.092 1.36 0.06
 78 Pt m 1.27 0.10 1.64 0.03
 79 Au m 0.195 0.019 0.82 0.04
 80 Hg m 0.458 0.092 1.19 0.08
 81 Tl m 0.182 0.015 0.79 0.03
 82 Pb m 3.33 0.23 2.06 0.03
 83 Bi m 0.138 0.012 0.67 0.04
 90 Th m 0.0351 0.0028 0.08 0.03
 92 U m 0.00893 0.00071 -0.52 0.03
