#
# line_tag	ion   wavelength  f	    gamma      mass

FeIIIr_899     FeIIIr  899.4118  0.06270240  1.111e+09  55.845
FeIIIn_899     FeIIIn  899.4330  0.00041568  7.446e+08  55.845
FeIIIn_899.4   FeIIIn  899.4686  0.00464566  8.704e+08  55.845
FeIIIk_900     FeIIIk  900.0647  0.00116977  1.639e+09  55.845
FeIIIx_900     FeIIIx  900.1888  0.00037759  9.436e+08  55.845
FeIIIl_900     FeIIIl  900.2062  0.00109502  6.339e+08  55.845
FeIIIo_900     FeIIIo  900.3514  0.00063995  1.052e+09  55.845
FeIIIp_900     FeIIIp  900.4320  0.00577394  8.707e+08  55.845
FeIIIo_900.4   FeIIIo  900.4981  0.00055073  1.010e+09  55.845
FeIIIn_900     FeIIIn  900.7098  0.00077192  1.416e+09  55.845
FeIIIn_900.9   FeIIIn  900.9338  0.00894105  1.024e+09  55.845
FeIIIf_901     FeIIIf  901.0320  0.02794846  8.100e+08  55.845
FeIIIl_901     FeIIIl  901.2268  0.00159694  1.610e+09  55.845
NiIId_901      NiIId   901.4288  0.00015959  3.998e+07  58.693
NiIIe_901      NiIIe   901.7363  0.00138367  4.271e+07  58.693
FeIIIp_901     FeIIIp  901.9841  0.00063306  1.052e+09  55.845
FeIIIo_902     FeIIIo  902.5755  0.00088671  8.704e+08  55.845
FeIIIo_902.8   FeIIIo  902.8176  0.00092955  1.438e+09  55.845
FeIIIn_902     FeIIIn  902.8689  0.00525526  7.821e+08  55.845
FeIIIi_902     FeIIIi  902.8765  0.00131384  5.826e+08  55.845
FeIIIs_902     FeIIIs  902.9287  0.00617758  1.240e+09  55.845
NiIIe_903      NiIIe   903.1636  0.00037178  4.160e+07  58.693
FeIIIf_903     FeIIIf  903.2963  0.00064102  8.414e+08  55.845
FeIIIs_903     FeIIIs  903.4793  0.00032553  1.172e+09  55.845
FeIIIt_903     FeIIIt  903.5582  0.00591610  1.172e+09  55.845
FeIIIk_904     FeIIIk  904.0118  0.00403107  6.674e+08  55.845
FeIIIo_904     FeIIIo  904.0508  0.00112978  1.024e+09  55.845
FeIIIu_904     FeIIIu  904.0849  0.00012867  1.240e+09  55.845
FeIIIv_904     FeIIIv  904.3195  0.01010838  1.240e+09  55.845
H2_904         H2      904.7090  0.00363000  7.570e+08   2.016
FeIIIg_905     FeIIIg  905.3348  0.03354730  8.414e+08  55.845
H2_905         H2      905.3760  0.00248000  7.570e+08   2.016
FeIIIp_905     FeIIIp  905.6970  0.00049175  1.024e+09  55.845
H2_905.8       H2      905.8280  0.00107000  7.570e+08   2.016
FeIIIl_905     FeIIIl  905.9591  0.00204269  6.674e+08  55.845
FeIIIo_906     FeIIIo  906.6302  0.00084909  6.739e+08  55.845
H2_906         H2      906.8630  0.00224000  7.570e+08   2.016
SII_906        SII     906.8850  0.21000000  1.140e+09  32.067
FeIIIk_907     FeIIIk  907.0391  0.00218598  9.176e+08  55.845
FeIIIm_907     FeIIIm  907.0448  0.00160353  5.445e+08  55.845
FeIIIm_907.2   FeIIIm  907.2522  0.00088457  6.674e+08  55.845
FeIIIf_907     FeIIIf  907.3986  0.00018488  8.690e+08  55.845
H2_907         H2      907.6160  0.00120000  7.570e+08   2.016
NiIIb_907      NiIIb   907.6923  0.00031326  2.816e+07  58.693
FeIIIo_907     FeIIIo  907.8055  0.00043148  1.132e+09  55.845
FeIIIu_907     FeIIIu  907.8910  0.02415083  1.425e+09  55.845
FeIIIv_908     FeIIIv  908.1276  0.03189994  1.425e+09  55.845
FeIIIo_908     FeIIIo  908.8022  0.00048348  1.310e+09  55.845
FeIIIs_908     FeIIIs  908.8032  0.00443302  1.398e+09  55.845
FeIIIt_908     FeIIIt  908.8830  0.04107658  1.398e+09  55.845
FeIIIf_909     FeIIIf  909.1798  0.01338443  6.720e+08  55.845
FeIIIs_909     FeIIIs  909.2776  0.01685065  1.578e+09  55.845
FeIIIp_909     FeIIIp  909.4654  0.00174851  1.132e+09  55.845
FeIIIu_909     FeIIIu  909.9746  0.00014188  1.398e+09  55.845
FeIIIr_910     FeIIIr  910.4095  0.00032978  7.451e+08  55.845
FeIIIu_910     FeIIIu  910.4501  0.00165288  1.578e+09  55.845
FeIIIp_910     FeIIIp  910.4657  0.00040267  1.310e+09  55.845
SII_910        SII     910.4840  0.14000000  1.120e+09  32.067
FeIIIx_910     FeIIIx  910.6207  0.03605367  1.122e+09  55.845
FeIIIv_910     FeIIIv  910.6880  0.02533801  1.578e+09  55.845
FeIIIn_910     FeIIIn  910.7306  0.00219766  6.184e+08  55.845
FeIIIp_910.7   FeIIIp  910.7817  0.00129697  8.472e+08  55.845
H2_910         H2      910.8264  0.00381000  7.490e+08   2.016
FeIIIh_910     FeIIIh  910.9574  0.03923218  8.690e+08  55.845
FeIIIl_911     FeIIIl  911.1994  0.00322762  5.826e+08  55.845
FeIIIs_911     FeIIIs  911.2678  0.01615758  1.888e+09  55.845
H2_911         H2      911.4852  0.00244000  7.490e+08   2.016
H2_911.9       H2      911.9731  0.00130000  7.490e+08   2.016
FeIIIo_912     FeIIIo  912.3434  0.00193153  8.302e+08  55.845
FeIIIu_912     FeIIIu  912.4456  0.00209701  1.888e+09  55.845
FeIIIv_912     FeIIIv  912.6845  0.06546863  1.888e+09  55.845
SII_912        SII     912.7350  0.06970000  1.120e+09  32.067
FeIIIg_912     FeIIIg  912.7887  0.00983200  6.387e+08  55.845
H2_912         H2      912.9566  0.00197000  7.500e+08   2.016
FeIIIe_913     FeIIIe  913.1327  0.00438785  1.160e+09  55.845
FeIIIr_913     FeIIIr  913.3214  0.00212605  7.545e+08  55.845
H2_913         H2      913.7761  0.00160000  7.490e+08   2.016
FeIIIo_913     FeIIIo  913.9160  0.00485871  6.184e+08  55.845
PIII_913       PIII    913.9680  0.20310000  4.804e+09  30.974
FeIIIp_914     FeIIIp  914.0200  0.00129011  8.302e+08  55.845
H2_914         H2      914.4026  0.02440000  1.090e+09   2.016
H2_914.6       H2      914.6125  0.01160000  1.090e+09   2.016
H2_915         H2      915.4065  0.01310000  1.090e+09   2.016
H2_915.4       H2      915.4339  0.00920000  1.080e+09   2.016
FeIIIx_915     FeIIIx  915.4549  0.04344856  1.974e+09  55.845
NiIIc_915      NiIIc   915.4713  0.00010680  2.816e+07  58.693
FeIIIp_915     FeIIIp  915.5983  0.00048640  6.184e+08  55.845
NII_915        NII     915.6120  0.14490000  1.151e+09  14.007
FeIIIe_915     FeIIIe  915.7399  0.00024818  1.195e+09  55.845
HI_915         HI      915.8238  0.00046890  1.243e+06   1.008
NiIIb_915      NiIIb   915.9205  0.00051316  4.620e+06  58.693
HI_916         HI      916.4291  0.00057770  1.529e+06   1.008
H2_916         H2      916.6217  0.01310000  1.090e+09   2.016
H2_916.8       H2      916.8811  0.00865000  1.070e+09   2.016
NiIIc_917      NiIIc   917.0184  0.00015035  2.965e+07  58.693
FeIIIs_917     FeIIIs  917.0230  0.00041732  1.599e+09  55.845
FeIIIt_917     FeIIIt  917.1042  0.00091843  1.599e+09  55.845
PIII_917       PIII    917.1180  0.40490000  4.792e+09  30.974
HI_917         HI      917.1805  0.00072310  1.911e+06   1.008
H2_917         H2      917.2568  0.00609000  7.750e+08   2.016
H2_917.3       H2      917.3755  0.00295000  1.090e+09   2.016
FeIIIu_917     FeIIIu  917.6873  0.00991863  1.381e+09  55.845
FeIIIs_917.7   FeIIIs  917.7308  0.00034649  1.421e+09  55.845
H2_917.9       H2      917.9261  0.00437000  7.750e+08   2.016
FeIIIv_917     FeIIIv  917.9290  0.06505818  1.381e+09  55.845
HI_918         HI      918.1293  0.00092190  2.432e+06   1.008
H2_918         H2      918.4186  0.00159000  7.760e+08   2.016
H2_918.4       H2      918.4364  0.01310000  1.090e+09   2.016
H2_919         H2      919.0500  0.00936000  9.890e+08   2.016
FeIIIv_919     FeIIIv  919.1676  0.00362551  1.421e+09  55.845
HI_919         HI      919.3513  0.00120100  3.160e+06   1.008
FeIIIx_919     FeIIIx  919.3939  0.00514524  1.300e+09  55.845
H2_919.4       H2      919.4217  0.00410000  7.730e+08   2.016
H2_919.5       H2      919.5501  0.00433000  1.090e+09   2.016
ArII_919       ArII    919.7810  0.00887000  2.070e+08  39.948
OI_919         OI      919.9170  0.00017700  2.330e+06  15.999
FeIIIx_919.9   FeIIIx  919.9758  0.00104304  1.330e+09  55.845
H2_920         H2      920.2483  0.00167000  7.750e+08   2.016
NiIIc_920      NiIIc   920.4507  0.00036455  9.725e+06  58.693
FeIIIv_920     FeIIIv  920.6137  0.00010141  7.780e+08  55.845
H2_920.8       H2      920.8410  0.01320000  1.090e+09   2.016
HI_920         HI      920.9630  0.00160600  4.210e+06   1.008
H2_921         H2      921.2302  0.00259000  1.030e+09   2.016
NiIIc_921      NiIIc   921.2961  0.00020043  5.325e+07  58.693
OI_922         OI      922.2000  0.00024500  3.210e+06  15.999
H2_922         H2      922.3108  0.00500000  1.080e+09   2.016
HI_923         HI      923.1503  0.00221700  5.785e+06   1.008
FeIIIx_923     FeIIIx  923.2484  0.00407921  1.904e+09  55.845
CrIII_923      CrIII   923.7800  0.08110000  2.113e+08  51.996
H2_923         H2      923.8236  0.01320000  1.080e+09   2.016
FeIIIi_923     FeIIIi  923.9623  0.00241053  1.160e+09  55.845
FeIIIn_923     FeIIIn  923.9851  0.00011939  6.339e+08  55.845
H2_923.9       H2      923.9901  0.00610000  8.040e+08   2.016
H2_924         H2      924.6486  0.00411000  8.030e+08   2.016
NiIIb_924      NiIIb   924.9140  0.00151856  3.443e+07  58.693
FeIIIn_925     FeIIIn  925.0604  0.00010917  1.610e+09  55.845
H2_925         H2      925.1803  0.00195000  8.040e+08   2.016
OI_925         OI      925.4460  0.00035400  4.600e+06  15.999
H2_925.6       H2      925.6634  0.00494000  1.070e+09   2.016
FeIIIn_925.8   FeIIIn  925.8698  0.00272466  1.639e+09  55.845
H2_926         H2      926.1369  0.00365000  8.020e+08   2.016
NiIIe_926      NiIIe   926.1998  0.00023215  3.273e+07  58.693
FeIIIt_926     FeIIIt  926.2161  0.00018907  1.590e+09  55.845
HI_926         HI      926.2256  0.00318500  8.255e+06   1.008
FeIIIi_926     FeIIIi  926.6319  0.00653965  1.195e+09  55.845
FeIIIr_926     FeIIIr  926.7087  0.00381114  9.544e+08  55.845
NiIIb_926      NiIIb   926.9395  0.00010512  2.153e+07  58.693
H2_927         H2      927.0258  0.00230000  8.040e+08   2.016
FeIIIo_927     FeIIIo  927.2640  0.00068709  6.339e+08  55.845
NiIId_928      NiIId   928.0129  0.00015623  5.325e+07  58.693
FeIIIo_928     FeIIIo  928.3469  0.00195108  1.610e+09  55.845
FeIIIn_928     FeIIIn  928.4676  0.04124055  1.693e+09  55.845
FeIIIr_928     FeIIIr  928.5148  0.00032483  1.318e+09  55.845
FeIIIi_928     FeIIIi  928.6438  0.00418047  1.192e+09  55.845
FeIIIo_929     FeIIIo  929.1621  0.04034129  1.639e+09  55.845
H2_929         H2      929.5417  0.03440000  1.100e+09   2.016
NiIIc_929      NiIIc   929.6796  0.00128286  2.763e+07  58.693
H2_929.6       H2      929.6979  0.01590000  1.100e+09   2.016
NiIId_929      NiIId   929.8308  0.00064121  2.704e+07  58.693
CoIII_929      CoIII   929.9720  0.01190000  1.146e+08  58.933
FeIIIp_930     FeIIIp  930.0829  0.04618958  1.610e+09  55.845
OI_930         OI      930.2566  0.00053700  6.900e+06  15.999
H2_930         H2      930.4569  0.01220000  1.100e+09   2.016
H2_930.5       H2      930.5859  0.01950000  1.100e+09   2.016
HI_930         HI      930.7482  0.00481600  1.236e+07   1.008
H2_931         H2      931.0686  0.01050000  8.350e+08   2.016
FeIIIj_931     FeIIIj  931.1183  0.01579292  1.195e+09  55.845
H2_931.7       H2      931.7381  0.00745000  8.350e+08   2.016
H2_931.79      H2      931.7900  0.01950000  1.100e+09   2.016
H2_931.8       H2      931.8211  0.01100000  1.100e+09   2.016
H2_932         H2      932.2733  0.00237000  8.350e+08   2.016
H2_932.6       H2      932.6141  0.00476000  1.100e+09   2.016
FeIIIv_932     FeIIIv  932.6889  0.00061559  1.220e+09  55.845
NiIIc_932      NiIIc   932.9923  0.00024666  3.443e+07  58.693
FeIIIv_933     FeIIIv  933.1110  0.00092538  1.318e+09  55.845
H2_933         H2      933.2446  0.00681000  8.330e+08   2.016
NiII_933       NiII    933.3398  0.00384846  7.628e+07  58.693
FeIIIo_933     FeIIIo  933.3691  0.00021029  6.674e+08  55.845
SVI_933        SVI     933.3780  0.44100000  1.690e+09  32.067
H2_933.5       H2      933.5875  0.01950000  1.100e+09   2.016
H2_933.7       H2      933.7981  0.01090000  1.080e+09   2.016
NiII_933.8     NiII    933.8619  0.00013467  2.885e+07  58.693
H2_934         H2      934.1511  0.00222000  8.350e+08   2.016
FeIIIe_934     FeIIIe  934.6999  0.05430630  1.902e+09  55.845
H2_934.8       H2      934.8001  0.00706000  1.100e+09   2.016
FeIIIp_934     FeIIIp  934.9036  0.00082182  5.445e+08  55.845
NiIIc_935      NiIIc   935.0533  0.00013502  2.153e+07  58.693
FeIIIp_935     FeIIIp  935.1239  0.00050344  6.674e+08  55.845
AlII_935       AlII    935.2738  0.02610000  6.630e+07  26.982
FeIIIt_935     FeIIIt  935.9137  0.00010944  1.507e+09  55.845
FeIIIs_935     FeIIIs  935.9351  0.00023955  1.464e+09  55.845
H2_935         H2      935.9685  0.01960000  1.100e+09   2.016
FeIIIs_936     FeIIIs  936.0787  0.00028245  1.402e+09  55.845
NiIIb_936      NiIIb   936.1898  0.00058238  9.822e+06  58.693
H2_936         H2      936.4693  0.01260000  1.103e+09   2.016
FeIIIo_936     FeIIIo  936.5966  0.00142257  9.176e+08  55.845
CoIII_936      CoIII   936.6370  0.04800000  3.648e+08  58.933
FeIIIx_936     FeIIIx  936.9296  0.00343503  1.585e+09  55.845
FeIIIu_937     FeIIIu  937.3215  0.00028132  1.402e+09  55.845
H2_937         H2      937.5623  0.00832000  1.100e+09   2.016
FeIIIw_937     FeIIIw  937.5800  0.00608885  1.204e+09  55.845
FeIIIv_937     FeIIIv  937.7187  0.00126954  9.911e+08  55.845
HI_937         HI      937.8034  0.00780300  1.973e+07   1.008
FeIIIu_938     FeIIIu  938.3919  0.00045812  1.346e+09  55.845
H2_938         H2      938.4746  0.00942000  8.670e+08   2.016
H2_938.9       H2      938.9201  0.01970000  1.100e+09   2.016
CoIII_939      CoIII   939.0610  0.08970000  8.485e+08  58.933
H2_939         H2      939.1307  0.00649000  8.660e+08   2.016
NiIIb_939      NiIIb   939.2760  0.00266657  1.681e+07  58.693
H2_939.7       H2      939.7141  0.00289000  8.680e+08   2.016
NiIId_939      NiIId   939.8814  0.00025958  3.443e+07  58.693
FeIIIu_940     FeIIIu  940.2722  0.00013003  1.328e+09  55.845
H2_940         H2      940.6322  0.00597000  8.640e+08   2.016
FeIIIp_940     FeIIIp  940.7081  0.00053733  5.826e+08  55.845
NiIIc_940      NiIIc   940.8857  0.00258812  1.651e+07  58.693
H2_940.8       H2      940.8933  0.00892000  1.100e+09   2.016
FeIIIe_941     FeIIIe  941.3208  0.00022876  9.432e+08  55.845
H2_941         H2      941.6063  0.00334000  8.670e+08   2.016
FeIIIn_941     FeIIIn  941.6333  0.00093163  8.414e+08  55.845
NiIId_941      NiIId   941.9730  0.00234135  2.153e+07  58.693
NiIIe_942      NiIIe   942.5867  0.00267741  2.154e+07  58.693
FeIIIs_942     FeIIIs  942.6766  0.00318953  1.233e+09  55.845
FeIIIs_942.7   FeIIIs  942.7033  0.00151891  1.385e+09  55.845
FeIIIt_942     FeIIIt  942.7891  0.00286513  1.385e+09  55.845
FeIIIu_943     FeIIIu  943.9369  0.00303241  1.233e+09  55.845
FeIIIu_943.9   FeIIIu  943.9637  0.00068706  1.385e+09  55.845
FeIIIv_944     FeIIIv  944.1926  0.00103957  1.233e+09  55.845
SVI_944        SVI     944.5230  0.21800000  1.631e+09  32.067
NiII_944       NiII    944.6333  0.00042409  3.119e+07  58.693
NiII_944.8     NiII    944.8397  0.00028731  3.127e+07  58.693
FeIIIs_945     FeIIIs  945.0329  0.00081275  1.628e+09  55.845
FeIIIt_945     FeIIIt  945.1192  0.00316947  1.628e+09  55.845
NiIIc_945      NiIIc   945.3757  0.00011758  8.576e+06  58.693
FeIIIu_945     FeIIIu  945.5793  0.00205099  1.160e+09  55.845
FeIIIs_945.6   FeIIIs  945.6370  0.00039818  1.672e+09  55.845
FeIIIv_945     FeIIIv  945.8359  0.00054991  1.160e+09  55.845
FeIIIi_946     FeIIIi  946.0503  0.04159745  1.902e+09  55.845
H2_946         H2      946.1783  0.00129000  9.700e+08   2.016
NiIIc_946      NiIIc   946.3405  0.00019737  1.004e+07  58.693
NiIId_946      NiIId   946.3478  0.00028018  1.231e+07  58.693
FeIIIx_946     FeIIIx  946.3754  0.00014019  1.204e+09  55.845
H2_946.3       H2      946.3937  0.01310000  1.090e+09   2.016
FeIIIx_946.4   FeIIIx  946.4014  0.00080276  1.240e+09  55.845
H2_946.4       H2      946.4298  0.06210000  1.050e+09   2.016
NiIIa_946      NiIIa   946.6543  0.00210940  7.628e+07  58.693
MgII_946       MgII    946.7033  0.00001950  7.270e+04  24.305
MgII_946.7     MgII    946.7694  0.00000759  5.650e+04  24.305
H2_946.9       H2      946.9847  0.01950000  9.270e+08   2.016
FeIIIx_947     FeIIIx  947.0064  0.00040068  1.172e+09  55.845
H2_947         H2      947.1205  0.01350000  1.110e+09   2.016
NiIIa_947      NiIIa   947.1915  0.00037125  2.885e+07  58.693
H2_947.4       H2      947.4280  0.02750000  1.120e+09   2.016
H2_947.5       H2      947.5216  0.00350000  9.030e+08   2.016
FeIIIt_947     FeIIIt  947.7751  0.00037574  1.006e+09  55.845
FeIIIe_947     FeIIIe  947.8717  0.00073413  9.884e+08  55.845
FeIIIs_948     FeIIIs  948.0100  0.00045651  8.707e+08  55.845
FeIIIe_948     FeIIIe  948.3193  0.01708293  1.104e+09  55.845
H2_948         H2      948.4285  0.01300000  1.110e+09   2.016
H2_948.4       H2      948.4752  0.01280000  9.060e+08   2.016
H2_948.6       H2      948.6224  0.02750000  1.120e+09   2.016
FeIIIs_948.7   FeIIIs  948.7493  0.00038191  1.035e+09  55.845
FeIIIr_948     FeIIIr  948.9117  0.00731691  7.446e+08  55.845
NiIIb_949      NiIIb   949.1346  0.00021205  3.462e+06  58.693
FeIIIu_949     FeIIIu  949.2847  0.00011700  8.707e+08  55.845
H2_949         H2      949.3618  0.00921000  9.700e+08   2.016
FeIIIo_949     FeIIIo  949.5301  0.00075172  8.690e+08  55.845
FeIIIv_949     FeIIIv  949.5433  0.00120909  8.707e+08  55.845
H2_949.6       H2      949.6150  0.00092200  1.050e+09   2.016
FeIIIs_949     FeIIIs  949.7306  0.00082167  1.052e+09  55.845
HI_949         HI      949.7430  0.01395000  3.437e+07   1.008
H2_950         H2      950.3239  0.01280000  1.110e+09   2.016
FeIIIr_950     FeIIIr  950.3329  0.10195841  1.416e+09  55.845
H2_950.4       H2      950.4050  0.02760000  1.120e+09   2.016
PIV_950        PIV     950.6570  1.16300000  2.860e+09  30.974
FeIIIj_950     FeIIIj  950.7272  0.04106114  1.902e+09  55.845
H2_950.8       H2      950.8230  0.01080000  8.990e+08   2.016
OI_950         OI      950.8846  0.00158000  1.940e+07  15.999
FeIIIh_950     FeIIIh  950.9652  0.00027734  9.432e+08  55.845
NI_951         NI      951.0791  0.00012900  1.830e+08  14.007
FeIIIg_951     FeIIIg  951.0840  0.00089988  9.582e+08  55.845
FeIIIu_951     FeIIIu  951.1736  0.00028601  1.010e+09  55.845
NiIIe_951      NiIIe   951.2832  0.00087374  1.231e+07  58.693
NI_951.2       NI      951.2947  0.00001810  1.870e+08  14.007
H2_951         H2      951.6814  0.01260000  1.090e+09   2.016
FI_951         FI      951.8700  0.01740000  7.618e+08  18.998
H2_952         H2      952.2790  0.00066400  9.270e+08   2.016
CoIII_952      CoIII   952.2970  0.00802000  7.371e+07  58.933
NI_952         NI      952.3034  0.00176000  4.510e+07  14.007
NiIId_952      NiIId   952.3416  0.00092464  1.427e+07  58.693
NI_952.4       NI      952.4148  0.00156000  4.920e+07  14.007
FeIIIs_952     FeIIIs  952.4751  0.00020946  1.438e+09  55.845
NI_952.5       NI      952.5227  0.00041700  3.670e+07  14.007
FeIIIh_952     FeIIIh  952.7265  0.00013146  9.582e+08  55.845
H2_952.7       H2      952.7654  0.02760000  1.120e+09   2.016
H2_952.8       H2      952.8130  0.01350000  1.100e+09   2.016
NiIIb_953      NiIIb   953.0340  0.00196090  1.453e+07  58.693
FeIIIx_953     FeIIIx  953.3787  0.02117671  1.578e+09  55.845
NI_953         NI      953.4152  0.01060000  1.914e+08  14.007
NI_953.6       NI      953.6549  0.02030000  1.861e+08  14.007
FeIIIv_953     FeIIIv  953.7526  0.00022169  8.704e+08  55.845
FeIIIu_953     FeIIIu  953.7618  0.00094785  1.438e+09  55.845
NI_953.9       NI      953.9699  0.03310000  2.030e+08  14.007
H2_954         H2      954.0083  0.00996000  8.940e+08   2.016
FeIIIv_954     FeIIIv  954.0229  0.00052960  1.438e+09  55.845
NI_954         NI      954.1042  0.00442000  1.880e+08  14.007
H2_954.4       H2      954.4205  0.01400000  9.400e+08   2.016
H2_954.48      H2      954.4837  0.01340000  1.110e+09   2.016
FI_954         FI      954.8260  0.08660000  7.591e+08  18.998
NiIIc_954      NiIIc   954.9092  0.00125226  1.307e+07  58.693
H2_955         H2      955.0726  0.00979000  9.390e+08   2.016
FeIIIu_955     FeIIIu  955.1383  0.00560976  1.024e+09  55.845
NI_955         NI      955.2643  0.00005020  4.050e+07  14.007
FeIIIv_955     FeIIIv  955.4001  0.00018612  1.024e+09  55.845
NI_955.4       NI      955.4370  0.00000116  5.520e+07  14.007
NI_955.5       NI      955.5292  0.00001730  1.650e+08  14.007
FeIIIx_955     FeIIIx  955.5670  0.04465630  1.888e+09  55.845
NiII_955       NiII    955.5980  0.00017981  3.385e+07  58.693
H2_955.6       H2      955.6901  0.02770000  1.110e+09   2.016
H2_955.7       H2      955.7158  0.00420000  9.410e+08   2.016
H2_955.8       H2      955.8595  0.00170000  9.060e+08   2.016
NI_955.8       NI      955.8814  0.00005870  1.680e+08  14.007
FeIIIs_956     FeIIIs  956.3611  0.00467600  1.521e+09  55.845
FeIIIt_956     FeIIIt  956.4494  0.00079776  1.521e+09  55.845
H2_956         H2      956.5863  0.00912000  9.360e+08   2.016
FeIIIs_956.9   FeIIIs  956.9266  0.00368207  1.639e+09  55.845
FeIIIt_957     FeIIIt  957.0151  0.00255404  1.639e+09  55.845
NiIIe_957      NiIIe   957.3399  0.00039985  1.427e+07  58.693
NiIIc_957      NiIIc   957.6434  0.00013956  3.462e+06  58.693
FeIIIu_957     FeIIIu  957.6583  0.00136516  1.521e+09  55.845
H2_957         H2      957.6598  0.00478000  9.400e+08   2.016
H2_957.8       H2      957.8286  0.01410000  1.110e+09   2.016
FeIIIh_958     FeIIIh  958.1084  0.00043460  1.104e+09  55.845
FeIIIt_958     FeIIIt  958.1934  0.00260621  1.506e+09  55.845
NiIIa_958      NiIIa   958.2743  0.00012804  3.119e+07  58.693
FeIIIe_958     FeIIIe  958.3473  0.00078845  1.060e+09  55.845
H2_958         H2      958.9525  0.00888000  9.330e+08   2.016
FeIIIi_959     FeIIIi  959.0751  0.00395789  8.929e+08  55.845
FeIIIs_959     FeIIIs  959.1386  0.00171081  1.310e+09  55.845
FeIIIu_959     FeIIIu  959.3303  0.00246982  1.132e+09  55.845
FeIIIs_959.4   FeIIIs  959.4892  0.00014079  8.472e+08  55.845
NI_959         NI      959.4936  0.00001610  1.400e+08  14.007
FeIIIi_959.5   FeIIIi  959.5463  0.02091322  9.884e+08  55.845
FeIIIt_959     FeIIIt  959.5782  0.00315215  8.472e+08  55.845
FeIIIk_959     FeIIIk  959.9119  0.00085206  9.432e+08  55.845
FeIIIe_960     FeIIIe  960.1674  0.00015259  1.364e+09  55.845
NI_960         NI      960.2010  0.00000361  1.670e+08  14.007
FeIIIu_960     FeIIIu  960.4434  0.00290429  1.310e+09  55.845
H2_960         H2      960.4580  0.00491000  9.390e+08   2.016
FeIIIu_960.7   FeIIIu  960.7950  0.00016015  8.472e+08  55.845
PII_961        PII     961.0412  0.34900000  5.090e+09  30.974
FeIIIk_961     FeIIIk  961.7065  0.00298126  9.582e+08  55.845
FeIIIl_961     FeIIIl  961.7848  0.00027044  9.161e+08  55.845
FeIIIx_961     FeIIIx  961.8972  0.10487106  1.599e+09  55.845
FeIIIl_962     FeIIIl  962.1078  0.00177637  9.432e+08  55.845
H2_962         H2      962.1584  0.00866000  9.300e+08   2.016
FeIIIw_962     FeIIIw  962.6514  0.24925109  1.590e+09  55.845
FeIIIx_962     FeIIIx  962.6760  0.00437671  1.421e+09  55.845
H2_962.9       H2      962.9849  0.01310000  9.810e+08   2.016
FeIIIs_963     FeIIIs  963.0811  0.00027367  1.434e+09  55.845
FeIIIs_963.0   FeIIIs  963.0838  0.00303709  8.302e+08  55.845
FeIIIt_963     FeIIIt  963.1707  0.00848424  1.434e+09  55.845
FeIIIm_963     FeIIIm  963.2423  0.00165537  9.161e+08  55.845
FeIIIm_963.5   FeIIIm  963.5662  0.00011712  9.432e+08  55.845
H2_963         H2      963.6151  0.00703000  9.820e+08   2.016
PII_963        PII     963.8005  1.46000000  4.140e+09  30.974
FeIIIj_963     FeIIIj  963.8820  0.02603356  8.929e+08  55.845
FeIIIl_963     FeIIIl  963.9106  0.00017426  9.582e+08  55.845
NI_963         NI      963.9903  0.01240000  8.550e+07  14.007
H2_964         H2      964.0979  0.00497000  9.360e+08   2.016
H2_964.3       H2      964.3175  0.00500000  9.820e+08   2.016
NI_964         NI      964.6256  0.00790000  8.310e+07  14.007
FeIIIv_964     FeIIIv  964.6663  0.00192070  8.302e+08  55.845
H2_964.9       H2      964.9852  0.06880000  1.140e+09   2.016
NI_965         NI      965.0413  0.00580100  1.080e+08  14.007
H2_965         H2      965.0544  0.00156000  1.000e+09   2.016
H2_965.0       H2      965.0657  0.03510000  1.140e+09   2.016
FeIIIs_965     FeIIIs  965.7215  0.00366338  1.358e+09  55.845
H2_965.7       H2      965.7945  0.03240000  1.110e+09   2.016
FeIIIt_965     FeIIIt  965.8116  0.00029602  1.358e+09  55.845
H2_966         H2      966.0976  0.03500000  1.140e+09   2.016
FeIIIu_966     FeIIIu  966.1567  0.00043364  6.184e+08  55.845
FeIIIe_966     FeIIIe  966.2358  0.00021836  1.011e+09  55.845
H2_966.2       H2      966.2826  0.00646000  9.810e+08   2.016
FeIIIe_966.7   FeIIIe  966.7551  0.00035647  1.032e+09  55.845
H2_966.7       H2      966.7871  0.00783000  1.110e+09   2.016
FeIIIe_966.8   FeIIIe  966.8813  0.00018406  1.152e+09  55.845
FeIIIu_967     FeIIIu  967.0443  0.00099847  1.358e+09  55.845
FeIIIk_967     FeIIIk  967.1907  0.02127114  1.104e+09  55.845
H2_967         H2      967.2829  0.03500000  1.140e+09   2.016
H2_967.6       H2      967.6775  0.02260000  9.940e+08   2.016
H2_968         H2      968.2967  0.00721000  1.140e+09   2.016
H2_968.6       H2      968.6709  0.01290000  1.130e+09   2.016
FeIIIe_968     FeIIIe  968.7659  0.00059941  1.004e+09  55.845
FeIIIl_968     FeIIIl  968.9523  0.01206520  9.884e+08  55.845
H2_969         H2      969.0515  0.03510000  1.140e+09   2.016
H2_969.0       H2      969.0975  0.00811000  9.820e+08   2.016
FeIIIl_969     FeIIIl  969.4200  0.00357877  1.104e+09  55.845
FeIIIm_969     FeIIIm  969.9496  0.00754903  8.929e+08  55.845
FeIIIm_970     FeIIIm  970.4315  0.00295089  9.884e+08  55.845
H2_970         H2      970.5646  0.00971000  1.140e+09   2.016
